id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
15568762,2017/09/09 4:30 PM UTC,2017-09-09,,UTC,,1092338,mrmferreira,2018-08-17 14:26:17 UTC,2019-10-24 16:01:35 UTC,needs_id,CC-BY-NC-ND,https://www.inaturalist.org/observations/15568762,https://static.inaturalist.org/photos/23286233/medium.jpg?1534515430,,"",Rescued from a pool,false,0,1,false,,"2560 A dos Cunhados, Portugal",39.1398667626,-9.3773171422,4,,open,false,,,Shrews,Soricidae,Shrews,Mammalia,46341
17372797,Wed Oct 10 2018 09:57:59 GMT+0100 (GMT+1),2018-10-10,2018-10-10 07:57:59 UTC,Amsterdam,,825750,pmgcordeiro,2018-10-10 09:01:56 UTC,2018-11-23 19:36:59 UTC,needs_id,,https://www.inaturalist.org/observations/17372797,https://static.inaturalist.org/photos/26386314/medium.jpg?1539162132,,"",,false,2,0,false,3,"5350, Alfândega da Fé, Bragança, PT",41.4712987701,-6.9479346369,5,,,false,,,Musk Shrews,Crocidura,Musk Shrews,Mammalia,46557
18486640,2018-08-18 12:12:08 p.m. WEST,2018-08-18,2018-08-18 11:12:08 UTC,Europe/London,false,727794,vitoreca,2018-11-19 01:08:54 UTC,2019-07-15 14:49:05 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/18486640,https://static.inaturalist.org/photos/28270963/medium.jpeg?1542589750,,"",,false,1,0,false,2,"EM537 4, 4990-621 Fornelos, Portugal",41.7305450439,-8.549282074,,,open,false,gps,gps,Musaranho-de-dentes-brancos,Crocidura russula,Greater White-toothed Shrew,Mammalia,46640
18928448,2003/12/21 2:20 AM CET,2003-12-21,2003-12-21 01:20:00 UTC,Paris,false,83929,henriquemiguel,2018-12-09 23:25:17 UTC,2018-12-26 10:02:44 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/18928448,https://static.inaturalist.org/photos/29015071/medium.jpg?1544397858,,"",,false,1,0,false,,"Melgaço, 4960, Portugal",42.0351829535,-8.1779362057,2000,,,false,,,Greater White-toothed Shrew,Crocidura russula,Greater White-toothed Shrew,Mammalia,46640
19045564,2018/12/13 10:20 AM CET,2018-12-13,2018-12-13 09:20:00 UTC,Paris,,291972,axeira,2018-12-16 10:38:42 UTC,2018-12-18 18:00:35 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/19045564,https://static.inaturalist.org/photos/29214175/medium.jpg?1544956660,,"",,false,2,0,false,,"Ervedal, 7480 Ervedal, Portugal",39.0515321006,-7.8226838371,537,,,false,,,Musk Shrews,Crocidura,Musk Shrews,Mammalia,46557
20036212,Sat Feb 02 2019 09:40:24 GMT+0000 (GMT),2019-02-02,2019-02-02 09:40:24 UTC,Lisbon,,106302,premasagar,2019-02-02 19:57:39 UTC,2019-02-04 21:32:28 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/20036212,https://static.inaturalist.org/photos/30932014/medium.jpg?1549137471,,"","Found in the foothills of the Serra do Açor mountains. The tail was around 8cm long.
The fur was a bit darker than it seems from the photos.

Sorex araneus, the common shrew?",false,1,0,false,3,Portugal,40.2890296785,-7.9746448675,1221,obscured,,true,,,Musk Shrews,Crocidura,Musk Shrews,Mammalia,46557
20107222,2010-11-01,2010-11-01,,UTC,false,1422334,adriao,2019-02-05 07:23:35 UTC,2019-12-02 15:00:58 UTC,needs_id,,https://www.inaturalist.org/observations/20107222,https://static.inaturalist.org/photos/31036692/medium.jpeg?1549351413,,"","",false,0,0,false,,Portugal - Fajão,40.1880036628,-7.8913195449,10,,,false,,,Crocidura russula,Crocidura russula,Greater White-toothed Shrew,Mammalia,46640
20107654,2011-05-20,2011-05-20,,UTC,false,1422334,adriao,2019-02-05 07:38:04 UTC,2019-12-02 15:00:39 UTC,needs_id,,https://www.inaturalist.org/observations/20107654,https://static.inaturalist.org/photos/31037015/medium.jpeg?1549352283,,"","",false,0,0,false,,Portugal - Fajão,40.181315322,-7.8139002639,10,,,false,,,Crocidura russula,Crocidura russula,Greater White-toothed Shrew,Mammalia,46640
21498168,2018/10/23 12:18 PM BST,2018-10-23,2018-10-23 11:18:00 UTC,Edinburgh,,1531239,llourenco92,2019-03-22 23:20:15 UTC,2019-03-22 23:21:37 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/21498168,https://static.inaturalist.org/photos/33266640/medium.jpeg?1553296512,,"","I believe it's a Crocidura sp, but maybe I'm wrong",false,0,0,false,,"Avenida Arsenal do Alfeite 10, 2810-262 Laranjeiro, Portugal",38.6643909,-9.1656614,157,,,false,,,Crocidura,Crocidura,Musk Shrews,Mammalia,46557
22191817,2019-04-07 11:26:28 a. m. WEST,2019-04-07,2019-04-07 10:26:28 UTC,Europe/London,false,1545507,xavierballesteros,2019-04-08 13:49:16 UTC,2019-04-08 13:50:29 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/22191817,https://static.inaturalist.org/photos/34360459/medium.jpeg?1554731388,,"",,false,0,0,false,2,"Unnamed Road, 3660, Portugal",40.7999959505,-8.130514808,33,,open,false,gps,gps,Musaraña gris,Crocidura russula,Greater White-toothed Shrew,Mammalia,46640
