id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
22950562,2018/07/21 11:00 AM BST,2018-07-21,2018-07-21 10:00:00 UTC,Edinburgh,1462872,avepel,2019-04-23 17:34:53 UTC,2019-04-23 18:07:04 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22950562,https://static.inaturalist.org/photos/35575478/medium.jpeg?1556040736,,"",,1,0,false,,"Arouca, 4540, Portugal",40.8616158043,-8.265669411,999,,open,false,,,,Arouca,,Portugal,Aveiro,Arouca,Eurasian Skylark,Alauda arvensis,Eurasian Skylark,Aves,7347
22952415,2018/07/25 6:29 PM BST,2018-07-25,2018-07-25 17:29:00 UTC,Edinburgh,1462872,avepel,2019-04-23 18:06:06 UTC,2019-04-23 18:06:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22952415,https://static.inaturalist.org/photos/35578236/medium.jpeg?1556042723,,"",,1,0,false,,Portugal,41.0112767257,-8.5592420139,999,,obscured,true,,,,Vila Nova de Gaia,,Portugal,Porto,Vila Nova de Gaia,Song Thrush,Turdus philomelos,Song Thrush,Aves,12748
22952488,2018/07/30 7:07 AM BST,2018-07-30,2018-07-30 06:07:00 UTC,Edinburgh,1462872,avepel,2019-04-23 18:07:53 UTC,2019-04-23 19:36:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22952488,https://static.inaturalist.org/photos/35578369/medium.jpeg?1556042839,,"",,1,0,false,,"Aveiro, PT",40.7583317517,-8.4788941383,999,,obscured,true,,,,Estarreja,,Portugal,Aveiro,Estarreja,Savi's Warbler,Locustella luscinioides,Savi's Warbler,Aves,116940
22952924,2018/08/03 7:04 AM BST,2018-08-03,2018-08-03 06:04:00 UTC,Edinburgh,1462872,avepel,2019-04-23 18:16:13 UTC,2020-03-07 22:45:01 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22952924,https://static.inaturalist.org/photos/35579022/medium.jpeg?1556043348,,"",,1,0,false,,"Porto, Portugal",41.1485168673,-8.6755039447,999,,open,false,,,,Porto,,Portugal,Porto,Porto,Gaivota cabecinegra,Ichthyaetus melanocephalus,Mediterranean Gull,Aves,144517
22953470,2018/08/04 8:27 AM BST,2018-08-04,2018-08-04 07:27:00 UTC,Edinburgh,1462872,avepel,2019-04-23 18:26:25 UTC,2019-04-23 19:36:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22953470,https://static.inaturalist.org/photos/35579725/medium.jpeg?1556043840,,"",,1,0,false,,"4500 Espinho, Portugal",40.9684900253,-8.6468557561,999,,open,false,,,,Espinho,,Portugal,Aveiro,Espinho,European Stonechat,Saxicola rubicola,European Stonechat,Aves,201192
22953472,2018/08/04 8:32 AM BST,2018-08-04,2018-08-04 07:32:00 UTC,Edinburgh,1462872,avepel,2019-04-23 18:26:25 UTC,2019-06-27 15:05:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22953472,https://static.inaturalist.org/photos/35579742/medium.jpeg?1556043853,,"",,3,0,false,,"4500 Espinho, Portugal",40.9678303369,-8.6479455111,999,,open,false,,,,Espinho,,Portugal,Aveiro,Espinho,Eurasian Coot,Fulica atra,Eurasian Coot,Aves,482
22953473,2018/08/04 8:39 AM BST,2018-08-04,2018-08-04 07:39:00 UTC,Edinburgh,1462872,avepel,2019-04-23 18:26:26 UTC,2019-04-23 19:06:39 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22953473,https://static.inaturalist.org/photos/35579756/medium.jpeg?1556043858,,"",,1,0,false,,"4500 Espinho, Portugal",40.9678518113,-8.6494810411,999,,open,false,,,,Espinho,,Portugal,Aveiro,Espinho,Pallid Swift,Apus pallidus,Pallid Swift,Aves,6643
22953479,2018/08/04 9:11 AM BST,2018-08-04,2018-08-04 08:11:00 UTC,Edinburgh,1462872,avepel,2019-04-23 18:26:28 UTC,2019-04-23 19:07:09 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22953479,https://static.inaturalist.org/photos/35579778/medium.jpeg?1556043872,,"",,1,0,false,,"4500 Espinho, Portugal",40.9672998844,-8.6509792179,999,,open,false,,,,Espinho,,Portugal,Aveiro,Espinho,Dunlin,Calidris alpina,Dunlin,Aves,3857
22953480,2018/08/04 9:08 AM BST,2018-08-04,2018-08-04 08:08:00 UTC,Edinburgh,1462872,avepel,2019-04-23 18:26:29 UTC,2019-04-23 19:07:17 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22953480,https://static.inaturalist.org/photos/35579791/medium.jpeg?1556043878,,"",,1,0,false,,"4500 Espinho, Portugal",40.9671296373,-8.6493189595,999,,open,false,,,,Espinho,,Portugal,Aveiro,Espinho,Sanderling,Calidris alba,Sanderling,Aves,3849
22953553,2018/08/10 7:05 AM BST,2018-08-10,2018-08-10 06:05:00 UTC,Edinburgh,1462872,avepel,2019-04-23 18:28:28 UTC,2020-03-07 22:48:06 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22953553,https://static.inaturalist.org/photos/35580092/medium.jpeg?1556044075,,"",,1,0,false,,"Porto, Portugal",41.1495977838,-8.6763431121,999,,open,false,,,,Porto,,Portugal,Porto,Porto,Gaivota cabecinegra,Ichthyaetus melanocephalus,Mediterranean Gull,Aves,144517
22968162,2018/07/01 11:48 AM BST,2018-07-01,2018-07-01 10:48:00 UTC,Edinburgh,1462872,avepel,2019-04-23 22:52:26 UTC,2020-04-12 00:27:30 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22968162,https://static.inaturalist.org/photos/35602201/medium.jpeg?1556059745,,"",,3,1,false,,Portugal,41.7738975139,-8.6822668174,999,,obscured,true,,,,Ponte de Lima,,Portugal,Viana do Castelo,Ponte de Lima,Iberian Green Woodpecker,Picus sharpei,Iberian Green Woodpecker,Aves,144242
22968163,2018/07/01 11:54 AM BST,2018-07-01,2018-07-01 10:54:00 UTC,Edinburgh,1462872,avepel,2019-04-23 22:52:27 UTC,2019-12-28 18:42:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22968163,https://static.inaturalist.org/photos/35602207/medium.jpeg?1556059749,,"",,4,0,false,,"Pte. de Lima, 4990, Portugal",41.7634330154,-8.6290530332,999,,open,false,,,,Ponte de Lima,,Portugal,Viana do Castelo,Ponte de Lima,Cigogne blanche,Ciconia ciconia,White Stork,Aves,4733
22968164,2018/07/01 12:02 PM BST,2018-07-01,2018-07-01 11:02:00 UTC,Edinburgh,1462872,avepel,2019-04-23 22:52:27 UTC,2019-10-30 21:33:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22968164,https://static.inaturalist.org/photos/35602215/medium.jpeg?1556059754,,"",,3,0,false,,"Pte. de Lima, 4990, Portugal",41.7582110824,-8.626669649,999,,open,false,,,,Ponte de Lima,,Portugal,Viana do Castelo,Ponte de Lima,Rabirrubio tizón,Phoenicurus ochruros,Black Redstart,Aves,13000
